BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,Licensed,SORN,Electric motor_Electric motor type,Electric motor_Location of the motor,Electric motor_Power,Electric motor_Torque,Second electric motor_Motor type,Second electric motor_Location,Second electric motor_Power,Second electric motor_Torque,Second electric motor_Regenerative braking
Cars,TESLA,TESLA MODEL 3,MODEL 3 LONG RANGE AWD,2019,2019,2909,10,Switched reluctance,Rear,188 kW (kilowatts)252.1 hp (mechanical horsepower)255.6 ps (metric horsepower),,AC induction/asynchronous,Front,147 kW (kilowatts)197.1 hp (mechanical horsepower)199.9 ps (metric horsepower),,Yes
Cars,TESLA,TESLA MODEL 3,MODEL 3 LONG RANGE AWD,2019,2019,2909,10,Switched reluctance,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,,,,,
Cars,TESLA,TESLA MODEL 3,MODEL 3 PERFORMANCE AWD,2019,2019,3632,15,Permanent magnet synchronous,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,,,,,
Cars,TESLA,TESLA MODEL 3,MODEL 3 PERFORMANCE AWD,2019,2019,3632,15,Permanent magnet synchronous,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,,,,,
Cars,TESLA,TESLA MODEL 3,MODEL 3 PERFORMANCE AWD,2019,2019,3632,15,Permanent magnet synchronous,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,,,,,
Cars,TESLA,TESLA MODEL 3,MODEL 3 PERFORMANCE AWD,2019,2019,3632,15,Switched reluctance,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,AC induction/asynchronous,Front,147 kW (kilowatts)197.1 hp (mechanical horsepower)199.9 ps (metric horsepower),,Yes
Cars,TESLA,TESLA MODEL 3,MODEL 3 PERFORMANCE AWD,2019,2019,3632,15,Switched reluctance,Rear,188 kW (kilowatts)252.1 hp (mechanical horsepower)255.6 ps (metric horsepower),,AC induction/asynchronous,Front,147 kW (kilowatts)197.1 hp (mechanical horsepower)199.9 ps (metric horsepower),,Yes
Cars,TESLA,TESLA MODEL 3,MODEL 3 PERFORMANCE AWD,2019,2019,3632,15,Switched reluctance,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,,,,,
Cars,TESLA,TESLA MODEL 3,MODEL 3 STANDARD RANGE +,2019,2019,3541,42,Permanent magnet synchronous,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,,,,,
Cars,TESLA,TESLA MODEL 3,MODEL 3 STANDARD RANGE +,2019,2019,3541,42,Permanent magnet synchronous,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,,,,,
Cars,TESLA,TESLA MODEL 3,MODEL 3 STANDARD RANGE +,2019,2019,3541,42,Permanent magnet synchronous,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,,,,,
Cars,TESLA,TESLA MODEL 3,MODEL 3 STANDARD RANGE +,2019,2019,3541,42,Switched reluctance,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,AC induction/asynchronous,Front,147 kW (kilowatts)197.1 hp (mechanical horsepower)199.9 ps (metric horsepower),,Yes
Cars,TESLA,TESLA MODEL 3,MODEL 3 STANDARD RANGE +,2019,2019,3541,42,Switched reluctance,Rear,188 kW (kilowatts)252.1 hp (mechanical horsepower)255.6 ps (metric horsepower),,AC induction/asynchronous,Front,147 kW (kilowatts)197.1 hp (mechanical horsepower)199.9 ps (metric horsepower),,Yes
Cars,TESLA,TESLA MODEL 3,MODEL 3 STANDARD RANGE +,2019,2019,3541,42,Switched reluctance,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,,,,,
Cars,TESLA,TESLA MODEL S,MODEL S,2017,2017,4,0,AC induction/asynchronous,Rear,375 kW (kilowatts)502.9 hp (mechanical horsepower)509.9 ps (metric horsepower),650 Nm (newton meters)66.3 kgm (kilogram meters)479.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S,2017,2017,4,0,AC induction/asynchronous,Rear,375 kW (kilowatts)502.9 hp (mechanical horsepower)509.9 ps (metric horsepower),600 Nm (newton meters)61.2 kgm (kilogram meters)442.5 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S,2017,2017,4,0,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S,2017,2017,4,0,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S,2017,2017,4,0,AC induction/asynchronous,Rear,285 kW (kilowatts)382.2 hp (mechanical horsepower)387.5 ps (metric horsepower),440 Nm (newton meters)44.9 kgm (kilogram meters)324.5 ft-lb (foot-pounds),,,,,
Cars,TESLA,TESLA MODEL S,MODEL S,2017,2017,4,0,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S,2017,2017,4,0,AC induction/asynchronous,Rear,285 kW (kilowatts)382.2 hp (mechanical horsepower)387.5 ps (metric horsepower),440 Nm (newton meters)44.9 kgm (kilogram meters)324.5 ft-lb (foot-pounds),,,,,
Cars,TESLA,TESLA MODEL S,MODEL S 100D,2017,2017,301,2,AC induction/asynchronous,Rear,375 kW (kilowatts)502.9 hp (mechanical horsepower)509.9 ps (metric horsepower),650 Nm (newton meters)66.3 kgm (kilogram meters)479.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S 100D,2017,2017,301,2,AC induction/asynchronous,Rear,375 kW (kilowatts)502.9 hp (mechanical horsepower)509.9 ps (metric horsepower),600 Nm (newton meters)61.2 kgm (kilogram meters)442.5 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S 100D,2017,2017,301,2,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S 100D,2017,2017,301,2,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S 100D,2017,2017,301,2,AC induction/asynchronous,Rear,285 kW (kilowatts)382.2 hp (mechanical horsepower)387.5 ps (metric horsepower),440 Nm (newton meters)44.9 kgm (kilogram meters)324.5 ft-lb (foot-pounds),,,,,
Cars,TESLA,TESLA MODEL S,MODEL S 100D,2017,2017,301,2,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S 100D,2017,2017,301,2,AC induction/asynchronous,Rear,285 kW (kilowatts)382.2 hp (mechanical horsepower)387.5 ps (metric horsepower),440 Nm (newton meters)44.9 kgm (kilogram meters)324.5 ft-lb (foot-pounds),,,,,
Cars,TESLA,TESLA MODEL S,MODEL S 60D,2017,2017,102,0,AC induction/asynchronous,Rear,375 kW (kilowatts)502.9 hp (mechanical horsepower)509.9 ps (metric horsepower),650 Nm (newton meters)66.3 kgm (kilogram meters)479.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S 60D,2017,2017,102,0,AC induction/asynchronous,Rear,375 kW (kilowatts)502.9 hp (mechanical horsepower)509.9 ps (metric horsepower),600 Nm (newton meters)61.2 kgm (kilogram meters)442.5 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
